Mode,Entries,Exits
LU,"7,288","7,546"
LU,"10,183","11,247"
LU,"16,046","15,225"
LU,"4,187","4,497"
LU,"2,807","2,712"
LU,"16,331","17,207"
LU,"11,128","10,801"
LU,"5,172","4,865"
LU,"3,118","3,002"
LU,"32,085","32,697"
LU,"14,062","14,040"
LU,"58,761","60,145"
LU,"8,391","8,727"
LU,"24,831","24,873"
LU,"1,908","1,947"
LU,"8,287","8,274"
LU,"10,265","9,912"
LU,"5,338","5,028"
LU,"4,844","4,917"
LU,"7,823","7,869"
LU,"10,008","9,752"
LU,"14,369","13,540"
LU,"15,884","15,161"
LU,"13,856","13,234"
LU,"54,309","55,596"
LU,"5,700","5,747"
LU,"2,306","2,403"
LU,"6,626","6,416"
LU,"6,444","6,269"
LU,"3,066","2,996"
LU,"28,089","27,499"
LU,"5,821","5,786"
LU,"2,819","2,770"
LU,"5,189","5,012"
LU,"6,906","6,500"
LU,"23,798","24,387"
LU,"13,515","13,715"
LU,"47,422","49,077"
LU,"18,147","18,207"
LU,"6,573","6,067"
LU,"3,397","3,353"
LU,"2,888","2,731"
LU,"6,254","5,420"
LU,"12,649","13,410"
LU,"20,406","19,519"
LU,"1,575","1,496"
LU,620,507
LU,"3,058","3,430"
LU,"3,003","2,272"
LU,"10,050","11,032"
LU,"6,805","7,222"
LU,"9,081","9,220"
LU,"2,057","2,051"
LU,"10,120","9,857"
LU,"8,039","7,800"
LU,"14,145","16,696"
LU,"1,449","1,422"
LU,"4,590","4,261"
LU,"8,095","7,944"
LU,"3,176","3,107"
LU,"5,097","4,687"
LU,"22,063","24,870"
LU,"2,935","3,001"
LU,"23,468","23,245"
LU,"5,019","5,095"
LU,"8,026","7,948"
LU,"17,788","17,317"
LU,"8,923","8,943"
LU,"3,472","3,393"
LU,"6,586","6,598"
LU,"5,104","5,189"
LU,"8,663","8,507"
LU,"21,000","20,187"
LU,"4,226","4,089"
LU,"21,973","21,598"
LU,"4,667","4,656"
LU,"41,115","41,734"
LU,"18,161","19,293"
LU,"1,441","1,374"
LU,"65,397","63,536"
LU,"9,795","9,597"
LU,"11,326","11,076"
LU,"28,655","28,334"
LU,"10,439","10,557"
LU,"8,013","7,593"
LU,"18,015","17,109"
LU,"9,528","9,585"
LU,"2,712","2,680"
LU,"8,240","8,646"
LU,725,662
LU,"8,787","8,863"
LU,"38,040","42,144"
LU,"5,308","5,452"
LU,"6,558","6,405"
LU,"4,911","4,662"
LU,"32,977","32,788"
LU,"13,669","13,327"
LU,"5,230","5,949"
LU,"4,015","3,822"
LU,"4,122","4,070"
LU,"5,982","5,674"
LU,"13,126","13,750"
LU,"4,406","4,522"
LU,"2,192","2,221"
LU,"6,250","4,918"
LU,"9,404","8,505"
LU,"8,982","8,561"
LU,"5,260","5,084"
LU,"13,859","13,515"
LU,"19,669","21,226"
LU,"6,363","6,509"
LU,"2,275","2,010"
LU,"29,787","31,880"
LU,"4,048","4,148"
LU,"8,488","8,549"
LU,"2,658","2,705"
LU,"4,955","4,854"
LU,"5,234","5,388"
LU,"4,273","4,262"
LU,"5,467","5,799"
LU,"1,396","1,403"
LU,"6,409","6,322"
LU,"2,773","2,661"
LU,"2,586","2,579"
LU,"5,146","5,002"
LU,"8,469","8,444"
LU,"3,932","3,790"
LU,"99,202","97,322"
LU,"5,795","5,754"
LU,"19,380","18,016"
LU,"8,112","8,019"
LU,"3,892","3,785"
LU,"4,122","4,109"
LU,"3,326","3,268"
LU,"31,720","28,364"
LU,"13,116","12,582"
LU,"10,698","10,745"
LU,"83,559","85,288"
LU,"72,179","70,057"
LU,"4,200","4,246"
LU,"4,140","3,969"
LU,"8,846","8,801"
LU,"6,905","7,408"
