TravelDate,Goodmayes,Chadwell Heath
20230103,2661,2936
20230104,2883,3129
20230105,6454,7006
20230106,3206,3451
20230107,2205,2329
20230108,3715,4004
20230109,9996,10857
20230110,10359,11668
20230111,10833,12123
20230112,9058,9927
20230113,9824,11064
20230114,7890,9296
20230115,5571,6312
20230116,10537,11468
20230117,11057,12243
20230118,11397,12461
20230119,11509,12586
20230120,10227,11158
20230121,7549,8495
20230122,5121,5410
20230123,10901,12316
20230124,11778,12879
20230125,11500,12488
20230126,11855,12925
20230127,10873,12371
20230128,7928,8658
20230129,5009,5524
20230130,11382,12226
20230131,12149,13176
20230201,10191,10837
20230202,11813,12865
20230203,10589,11386
20230204,10,1
20230206,11278,12037
20230207,11695,13040
20230208,12110,13425
20230209,11724,12860
20230210,11403,12376
20230212,1,1
20230213,11072,11826
20230214,11446,12490
20230215,11395,12542
20230216,11672,12605
20230217,10912,11813
20230220,11522,12286
20230221,12032,13030
20230222,11676,12836
20230223,12290,13274
20230224,11447,12398
20230225,9,1
20230227,11327,12672
20230228,12025,13241
20230301,12288,13179
20230302,12059,13233
20230303,11756,12686
20230306,11677,12201
20230307,12040,13097
20230308,11410,12290
20230309,11699,12699
20230310,11095,12100
20230312,29,1
20230313,11474,12545
20230314,12460,13357
20230315,11325,12882
20230316,10657,12080
20230317,11360,12639
20230318,8077,9209
20230319,5641,6045
20230320,11845,12722
20230321,12572,13558
20230322,12480,13229
20230323,11942,13145
20230324,11104,12206
20230325,8284,9085
20230326,4903,5414
20230327,11512,12339
20230328,11615,12983
20230329,11934,12806
20230330,11828,13000
20230331,11104,11714
20230401,7659,8265
20230402,5677,6184
20230403,10706,11636
20230404,11245,12110
20230405,11359,12722
20230406,11066,12239
20230407,6664,7197
20230408,6512,7125
20230409,4515,4960
20230410,4714,5186
20230411,10137,11494
20230412,10466,11728
20230413,11048,12306
20230414,10211,11276
20230415,7827,8341
20230416,5452,5794
20230417,10972,12039
20230418,11694,12653
20230419,11870,12897
20230420,12020,13408
20230421,10724,11492
20230422,8195,8684
20230423,5446,5796
20230424,11335,12438
20230425,12242,13674
20230426,12354,14030
20230427,11885,13111
20230428,11705,12976
20230429,9352,10689
20230430,6933,7336
20230501,6849,7123
20230502,12041,12778
20230503,12697,14305
20230504,12648,13853
20230505,11760,11417
20230506,7193,6425
20230507,6642,6269
20230508,6371,5559
20230509,12230,11288
20230510,12627,11687
20230511,12836,12300
20230512,11421,10313
20230513,8402,7627
20230514,6259,5646
20230515,11917,11082
20230516,12523,11820
20230517,12629,11762
20230518,12947,11742
20230519,11988,11087
20230520,8565,7852
20230521,6436,5756
20230522,11817,10741
20230523,12720,11957
20230524,12408,13349
20230525,12997,14047
20230526,12251,13288
20230527,9023,9603
20230528,6970,7514
20230529,7035,7458
20230530,11413,12719
20230531,11467,12287
20230601,12112,13147
20230602,11003,11714
20230603,8622,9067
20230604,6340,6559
20230605,11788,12845
20230606,12600,13780
20230607,12732,13580
20230608,12329,13497
20230609,11196,11370
20230610,9258,9714
20230611,6298,6767
20230612,12109,12873
20230613,12888,14097
20230614,13184,14250
20230615,12972,14125
20230616,12676,13710
20230617,8979,9961
20230618,6219,7082
20230619,12503,12897
20230620,12701,13739
20230621,13243,13990
20230622,13059,14160
20230623,11785,12675
20230624,9511,10254
20230625,6746,6951
20230626,12632,13181
20230627,12955,14055
20230628,12247,13031
20230629,11929,12629
20230630,12559,13526
20230701,9515,10051
20230702,6578,7354
20230703,12065,12975
20230704,12931,13636
20230705,12904,13802
20230706,13342,14719
20230707,12967,13890
20230708,9412,10327
20230709,6867,6888
20230710,12595,13541
20230711,13100,14066
20230712,13073,14315
20230713,13026,14365
20230714,12000,13577
20230715,9402,10814
20230716,6701,6974
20230717,12288,13106
20230718,12938,13847
20230719,13076,13900
20230720,12234,13257
20230721,12284,12837
20230722,8296,8668
20230723,6703,7250
20230724,11478,11857
20230725,11562,12031
20230726,11408,12042
20230727,11654,12322
20230728,11395,12071
20230729,8748,9435
20230730,6354,6662
20230731,11203,11707
20230801,12373,13067
20230802,11573,12610
20230803,12398,13272
20230804,11476,12189
20230805,7830,8375
20230806,6717,7243
20230807,7883,12770
20230808,11498,12326
20230809,12391,13126
20230810,12293,12636
20230811,11404,11839
20230812,8785,9443
20230813,6406,6770
20230814,10959,11394
20230815,12354,12747
20230816,12418,12744
20230817,12318,12750
20230818,11421,11625
20230819,9158,9788
20230820,6635,7369
20230821,11256,11701
20230822,12306,12537
20230823,12247,12698
20230824,12083,12955
20230825,11385,11675
20230826,8694,9030
20230827,7006,7365
20230828,7597,7980
20230829,11902,12290
20230830,12437,13108
20230831,12168,12750
20230901,11412,11785
20230902,8734,9211
20230903,6876,7010
20230904,12029,12594
20230905,13057,13545
20230906,12741,13222
20230907,12879,13604
20230908,12386,13122
20230909,8882,9480
20230910,6317,6820
20230911,12590,13079
20230912,13132,14401
20230913,13456,14043
20230914,13545,14523
20230915,13073,13410
20230916,9839,11125
20230917,6405,6848
20230918,13081,13469
20230919,13693,14385
20230920,13128,13706
20230921,13430,14641
20230922,13181,13790
20230923,9484,10225
20230924,6651,7254
20230925,13754,14168
20230926,14174,15138
20230927,14296,15028
20230928,14440,15305
20230929,13999,14374
20230930,10049,10813
20231001,7029,7499
20231002,13938,14073
20231003,14757,15187
20231004,13175,13110
20231005,14815,15244
20231006,13431,14021
20231007,10033,10758
20231008,18,14
20231009,13801,14211
20231010,14928,15074
20231011,14148,14211
20231012,14486,15118
20231013,13670,14452
20231014,10090,10099
20231015,7558,7279
20231016,13772,14447
20231017,14838,15271
20231018,13894,14153
20231019,13778,13954
20231020,13150,13700
20231021,9725,10018
20231022,6654,7691
20231023,12821,13786
20231024,13499,13955
20231025,13673,14219
20231026,13672,14616
20231027,13072,13911
20231028,9184,9935
20231029,6774,7169
20231030,13679,13933
20231031,14656,15169
20231101,14472,15358
20231102,13604,14445
20231103,13624,14189
20231104,9392,9836
20231105,7123,7139
20231106,14137,14189
20231107,14577,15035
20231108,14128,14525
20231109,14721,15697
20231110,13748,14248
20231111,12500,13027
20231112,6978,7118
20231113,13954,13911
20231114,14435,14831
20231115,14744,15188
20231116,14472,15167
20231117,14140,14989
20231118,9647,10288
20231119,6603,7222
20231120,13964,14459
20231121,14809,15272
20231122,14660,15267
20231123,14710,15091
20231124,14483,14721
20231125,9339,9761
20231126,6273,6582
20231127,13856,13768
20231128,14710,15125
20231129,14586,14907
20231130,14446,14878
20231201,13947,14362
20231202,9622,10421
20231203,6625,7157
20231204,13757,14065
20231205,14737,15452
20231206,14438,14867
20231207,14215,15154
20231208,13666,14838
20231209,9848,10468
20231210,6459,7170
20231211,13579,14236
20231212,13802,14939
20231213,14358,15021
20231214,14494,15297
20231215,13764,14672
20231216,9768,10672
20231217,7338,8305
20231218,12744,13444
20231219,12655,13369
20231220,12795,13914
20231221,12408,13265
20231222,11424,12510
20231223,9284,10584
20231224,6367,6611
20231227,8106,8248
20231228,8855,9067
20231229,9430,9866
20231230,7922,8154
20231231,7883,7646
20240101,5191,5013
20240102,9137,9843
20240103,10737,11492
